epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.112,1.39329,1.93213,1.55538,0.95016,0.91714,0.9618,0.52123,1.32104,2.26213,1.43017,0.00065625,0.00065625,0.00065625
2,356.132,1.32258,1.19928,1.3338,0.81095,0.72509,0.80622,0.36574,1.74452,2.05489,1.89235,0.00129672,0.00129672,0.00129672
3,660.173,1.31241,1.01182,1.31064,0.88487,0.74914,0.85737,0.46404,1.5077,1.56822,1.54488,0.0019108,0.0019108,0.0019108
4,922.506,1.3145,0.88033,1.31864,0.94086,0.90034,0.96057,0.54712,1.41275,1.07918,1.47467,0.0018812,0.0018812,0.0018812
5,1194.75,1.27583,0.7905,1.2736,0.97818,0.92445,0.98258,0.59163,1.3062,0.77607,1.37405,0.0018416,0.0018416,0.0018416
6,1467.03,1.25804,0.72161,1.27853,0.99168,0.98625,0.9926,0.60307,1.2693,0.70511,1.35376,0.001802,0.001802,0.001802
7,1756.44,1.27348,0.71336,1.28857,0.97363,0.90378,0.97124,0.59802,1.27175,0.75335,1.35539,0.0017624,0.0017624,0.0017624
8,2023.44,1.2327,0.65482,1.26044,0.98945,0.98625,0.99473,0.63092,1.21199,0.5646,1.30403,0.0017228,0.0017228,0.0017228
9,2328.4,1.23927,0.65215,1.244,0.99656,0.99605,0.99483,0.61874,1.22666,0.57889,1.31222,0.0016832,0.0016832,0.0016832
10,2601.99,1.23791,0.636,1.25466,0.94655,0.84192,0.92534,0.49935,1.48317,0.78078,1.47861,0.0016436,0.0016436,0.0016436
