epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.233,1.39329,1.93213,1.55538,0.95016,0.91714,0.9618,0.52123,1.32104,2.26213,1.43017,0.00065625,0.00065625,0.00065625
2,466.375,1.32258,1.19928,1.3338,0.81095,0.72509,0.80622,0.36574,1.74452,2.05489,1.89235,0.00129672,0.00129672,0.00129672
3,658.319,1.31241,1.01182,1.31064,0.88487,0.74914,0.85737,0.46404,1.5077,1.56822,1.54488,0.0019108,0.0019108,0.0019108
4,841.954,1.3145,0.88033,1.31864,0.94086,0.90034,0.96057,0.54712,1.41275,1.07918,1.47467,0.0018812,0.0018812,0.0018812
5,1089.2,1.27583,0.7905,1.2736,0.97818,0.92445,0.98258,0.59163,1.3062,0.77607,1.37405,0.0018416,0.0018416,0.0018416
6,1259.14,1.25804,0.72161,1.27853,0.99168,0.98625,0.9926,0.60307,1.2693,0.70511,1.35376,0.001802,0.001802,0.001802
7,1454.11,1.27348,0.71336,1.28857,0.97363,0.90378,0.97124,0.59802,1.27175,0.75335,1.35539,0.0017624,0.0017624,0.0017624
8,1620.19,1.2327,0.65482,1.26044,0.98945,0.98625,0.99473,0.63092,1.21199,0.5646,1.30403,0.0017228,0.0017228,0.0017228
9,2753.21,1.23927,0.65215,1.244,0.99656,0.99605,0.99483,0.61874,1.22666,0.57889,1.31222,0.0016832,0.0016832,0.0016832
10,3049.78,1.23791,0.636,1.25466,0.94655,0.84192,0.92534,0.49935,1.48317,0.78078,1.47861,0.0016436,0.0016436,0.0016436
11,3312.36,1.19867,0.61167,1.22148,0.98544,0.98969,0.99459,0.62166,1.22783,0.53964,1.32251,0.001604,0.001604,0.001604
12,3573.06,1.16977,0.5992,1.22265,1,0.96182,0.99416,0.62799,1.229,0.56574,1.31042,0.0015644,0.0015644,0.0015644
13,3739.61,1.15832,0.60114,1.22073,0.99674,0.98282,0.99476,0.61949,1.29024,0.60457,1.34636,0.0015248,0.0015248,0.0015248
14,3906.2,1.17474,0.59099,1.22185,0.99933,0.99313,0.995,0.65111,1.16071,0.47901,1.26122,0.0014852,0.0014852,0.0014852
